sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 1_G5	100 bp to 200 bp	0.0156	9.8	0.1854	139	1	Negative	0.1
Plate 1_G5	200 bp to 1000 bp	0.1028	64.6	0.4324	391	1	Negative	0.1
Plate 1_H5	35 bp to 100 bp	0.0276	0.6	0.7034	64	1	Positive	0.1
Plate 1_H5	100 bp to 200 bp	0.0339	0.7	0.3598	155	1	Positive	0.1
Plate 1_H5	200 bp to 1000 bp	4.5625	96.7	17.204	436	1	Positive	0.1
Plate 2_A2	35 bp to 100 bp	0.0371	20.6	0.835	73	2	Negative	0.01
Plate 2_A2	100 bp to 200 bp	0.0325	18	0.4802	111	2	Negative	0.01
Plate 2_A2	200 bp to 1000 bp	0.0926	51.4	0.3878	393	2	Negative	0.01
Plate 2_B2	35 bp to 100 bp	0.1061	30.8	1.9653	89	2	Positive	0.01
Plate 2_B2	100 bp to 200 bp	0.0205	6	0.2743	123	2	Positive	0.01
Plate 2_B2	200 bp to 1000 bp	0.2028	58.9	0.8754	381	2	Positive	0.01
Plate 2_C2	35 bp to 100 bp	0.0353	10.5	0.773	75	2	Positive	0.01
Plate 2_C2	100 bp to 200 bp	0.0327	9.8	0.4032	133	2	Positive	0.01
Plate 2_C2	200 bp to 1000 bp	0.25	74.6	1.0362	397	2	Positive	0.01
Plate 2_D2	35 bp to 100 bp	0.1179	28.3	2.3131	84	2	Positive	0.01
Plate 2_D2	100 bp to 200 bp	0.0248	5.9	0.3021	135	2	Positive	0.01
Plate 2_D2	200 bp to 1000 bp	0.2573	61.7	1.061	399	2	Positive	0.01
Plate 2_E2	35 bp to 100 bp	0.0175	5.2	0.4178	69	2	Positive	0.01
Plate 2_E2	100 bp to 200 bp	0.0121	3.6	0.1436	139	2	Positive	0.01
Plate 2_E2	200 bp to 1000 bp	0.2804	83.5	1.0407	443	2	Positive	0.01
Plate 2_F2	35 bp to 100 bp	0.0929	14.6	1.8984	80	2	Positive	0.01
Plate 2_F2	100 bp to 200 bp	0.139	21.8	1.7802	128	2	Positive	0.01
Plate 2_F2	200 bp to 1000 bp	0.3925	61.6	1.6665	388	2	Positive	0.01
Plate 2_G2	35 bp to 100 bp	0.0067	6.3	0.1789	62	2	Negative	0.01
Plate 2_G2	100 bp to 200 bp	0.0048	4.5	0.0627	127	2	Negative	0.01
Plate 2_G2	200 bp to 1000 bp	0.0837	78.5	0.3402	405	2	Negative	0.01
Plate 2_H2	35 bp to 100 bp	0.0157	3.7	0.4262	61	2	Positive	0.01
Plate 2_H2	100 bp to 200 bp	0.0206	4.9	0.2194	155	2	Positive	0.01
Plate 2_H2	200 bp to 1000 bp	0.3593	85.2	1.4261	414	2	Positive	0.01
Plate 2_A3	35 bp to 100 bp	0.0824	6.1	1.6923	80	2	Positive	0.1
Plate 2_A3	100 bp to 200 bp	0.0532	3.9	0.692	126	2	Positive	0.1
Plate 2_A3	200 bp to 1000 bp	1.1601	86	4.1123	464	2	Positive	0.1
Plate 2_B3	35 bp to 100 bp	0.0225	0.6	0.5148	72	2	Positive	0.1
Plate 2_B3	100 bp to 200 bp	0.0319	0.9	0.3665	143	2	Positive	0.1
Plate 2_B3	200 bp to 1000 bp	3.4127	97	13.236	424	2	Positive	0.1
Plate 2_C3	35 bp to 100 bp	0.0536	25.8	1.142	77	2	Negative	0.1
Plate 2_C3	100 bp to 200 bp	0.0296	14.3	0.4084	119	2	Negative	0.1
Plate 2_C3	200 bp to 1000 bp	0.1033	49.7	0.4199	405	2	Negative	0.1
Plate 2_D3	35 bp to 100 bp	0.0341	1.2	0.7141	78	2	Positive	0.1
Plate 2_D3	100 bp to 200 bp	0.0323	1.1	0.3909	136	2	Positive	0.1
Plate 2_D3	200 bp to 1000 bp	2.8175	96	10.3186	449	2	Positive	0.1
Plate 2_E3	35 bp to 100 bp	0.0371	1	0.8023	76	2	Positive	0.1
Plate 2_E3	100 bp to 200 bp	0.0285	0.8	0.3152	148	2	Positive	0.1
Plate 2_E3	200 bp to 1000 bp	3.5243	96.1	12.8144	453	2	Positive	0.1
Plate 2_F3	35 bp to 100 bp	0.1608	46.1	3.2404	81	2	Negative	0.1
Plate 2_F3	100 bp to 200 bp	0.0239	6.9	0.3109	127	2	Negative	0.1
Plate 2_F3	200 bp to 1000 bp	0.1532	43.9	0.6562	384	2	Negative	0.1
Plate 2_G3	35 bp to 100 bp	0.0355	0.4	0.8578	68	2	Positive	0.1
Plate 2_G3	100 bp to 200 bp	0.0342	0.4	0.3364	167	2	Positive	0.1
Plate 2_G3	200 bp to 1000 bp	8.8947	97.1	31.0804	471	2	Positive	0.1
Plate 2_H3	35 bp to 100 bp	0.0338	1.6	0.7746	71	2	Positive	0.1
Plate 2_H3	100 bp to 200 bp	0.0877	4.1	1.1175	129	2	Positive	0.1
Plate 2_H3	200 bp to 1000 bp	1.9655	92	7.4861	432	2	Positive	0.1
Plate 2_A4	35 bp to 100 bp	0.0555	0.3	1.3132	69	2	Positive	1
Plate 2_A4	100 bp to 200 bp	0.129	0.6	1.2905	164	2	Positive	1
Plate 2_A4	200 bp to 1000 bp	20.1184	97.4	81.638	405	2	Positive	1
Plate 2_B4	35 bp to 100 bp	0.0808	0.5	1.9533	68	2	Positive	1
Plate 2_B4	100 bp to 200 bp	0.1809	1.1	1.8433	161	2	Positive	1
Plate 2_B4	200 bp to 1000 bp	15.9462	96.7	65.5993	400	2	Positive	1
Plate 2_C4	35 bp to 100 bp	0.0794	0.5	1.9231	68	2	Positive	1
Plate 2_C4	100 bp to 200 bp	0.1663	1	1.6919	162	2	Positive	1
Plate 2_C4	200 bp to 1000 bp	15.5976	96.4	60.9101	421	2	Positive	1
Plate 2_D4	35 bp to 100 bp	0.0501	0.5	1.2155	68	2	Positive	1
Plate 2_D4	100 bp to 200 bp	0.1693	1.6	1.6747	166	2	Positive	1
Plate 2_D4	200 bp to 1000 bp	10.2766	95.8	41.6296	406	2	Positive	1
Plate 2_E4	35 bp to 100 bp	0.1738	54.7	3.614	79	2	Negative	1
Plate 2_E4	100 bp to 200 bp	0.0409	12.9	0.5975	112	2	Negative	1
Plate 2_E4	200 bp to 1000 bp	0.0841	26.5	0.3516	393	2	Negative	1
Plate 2_F4	35 bp to 100 bp	0.1165	0.5	2.8267	68	2	Positive	1
Plate 2_F4	100 bp to 200 bp	0.2493	1.1	2.5788	159	2	Positive	1
Plate 2_F4	200 bp to 1000 bp	22.1676	97.3	86.3995	422	2	Positive	1
Plate 2_G4	35 bp to 100 bp	0.0246	0.2	0.6379	63	2	Positive	1
Plate 2_G4	100 bp to 200 bp	0.0856	0.8	0.827	170	2	Positive	1
Plate 2_G4	200 bp to 1000 bp	10.2198	97.2	40.2536	418	2	Positive	1
