genome	D300487	D300499
GPB:bin_000073	0	0.008556886565852647
GPB:bin_000074	7.072887782468001	23.67856911888107
GPB:bin_000075	1.6425149452322259	4.572807592856443
GPB:bin_000076	2.1863824358766824	1.973645501671306
GPB:bin_000078	0.013067099342303521	0.38439405263955406
GPB:bin_000080	0.25802960677741615	1.5571117643733394
GPB:bin_000082	1.0707609563059566	0.728000617641593
GPB:bin_000083	8.575946870293949e-5	0.007461073777155735
GPB:bin_000084	15.269505704105125	0.2940613419369761
GPB:bin_000085	1.5162856638103395	100.41618341293703
GPB:bin_000086	1.9668971580246495	2.3405144788431067
GPB:bin_000087	1.0653588352763308	3.3649908142468794
GPB:bin_000088	3.5723424648792315	7.6606101823014106
GPB:bin_000089	4.816411879875076	2.8046396759243986
GPB:bin_000092	3.4638093796609626	37.87874079835774
GPB:bin_000093	0.5633883030267991	3.030854764207887
GPB:bin_000094	2.6848165616537227	2.205897319985989
GPB:bin_000095	0.01668226593906162	0.05492026876567477
GPB:bin_000097	0.09755407165901603	1.8607403264420812
GPB:bin_000099	0	0.0038481231313888197
GPB:bin_000100	2.1643656014757062	0.9567914132037514
GPB:bin_000104	39.03582497149734	20.276111357191297
GPB:bin_000111	5.987458246371712	23.040194344160756
GPB:bin_000112	71.44403464883897	27.95035997590993
GPB:bin_000113	0.49420366182977615	0.814852697162936
GPB:bin_000114	1.700637775740646	2.6028781689454683
GPB:bin_000115	1.0551342999326454	0.7794689123129562
GPB:bin_000116	2.3289935959938686	1.1839302044011606
GPB:bin_000119	0.9521684309044193	0.8575365377032701
GPB:bin_000122	0	2.597745777256839
GPB:bin_000123	4.039179742792801	14.225363608719306
GPB:bin_000124	35.928280827861485	14.34629330049372
GPB:bin_000125	4.807490708524854	0.6816479218924418
GPB:bin_000126	22.45073388151655	5.39241411483874
GPB:bin_000127	2.3100454600258673	1.8585279336650808
GPB:bin_000129	0	0.004916386089904956
GPB:bin_000130	5.0839114446461915	19.369162250422047
GPB:bin_000131	33.29332858382848	8.051800332352364
GPB:bin_000132	0.08141272608757863	0.4813883486398974
GPB:bin_000133	0.026084698739760454	0.19858028718011184
GPB:bin_000135	3.982533285634441	25.716301823913277
GPB:bin_000136	1.7408970444938574	1.5631852707635443
GPB:bin_000137	1.2324979249929235	2.382704258443955
GPB:bin_000139	0.05175478080133446	1.5611451086560801
GPB:bin_000140	7.970444478099333	9.187031013481796
GPB:bin_000141	3.1776869530990037	3.3442618027074045
GPB:bin_000142	0.4924460071556203	0.9073430816889897
GPB:bin_000143	74.90306764525046	22.278288788525213
GPB:bin_000145	0.5148221176786938	0.0023714068546443075
GPB:bin_000146	1.9108673510290455	3.1929841646817145
GPB:bin_000147	2.57001283581994	26.624275384354384
GPB:bin_000148	0.9651458067274769	1.7278691395566494
GPB:bin_000149	0.24854179744057617	0.5647921538677003
GPB:bin_000151	0.9889483633682933	1.0803818017039541
GPB:bin_000152	3.4031048907343666	2.009625666371473
GPB:bin_000153	0.007872900401802482	0.01972967811536044
GPB:bin_000154	0.4499365436593034	0.5118933397053821
GPB:bin_000155	0.2958305197463702	1.1235670134041942
GPB:bin_000156	0.5293242765467018	1.4290511113261846
GPB:bin_000159	0.4222503357335508	0.3444241423769676
GPB:bin_000161	0.004241043975384981	0.017600332497847673
GPB:bin_000163	0.07658123246877256	0.2132823109877965
GPB:bin_000166	1.3715940913101377	23.5258416129156
GPB:bin_000168	0.4344583882437605	2.0996935535101398
GPB:bin_000170	0.0013169578274186628	0.006046033662240225
GPB:bin_000171	2.2515828410912873	5.3832550604625595
GPB:bin_000172	0.9819760299780119	1.1146635363377215
GPB:bin_000173	6.42208035216233	3.415683086181522
GPB:bin_000175	0.5027709121143692	0.9726997625245254
GPB:bin_000176	1.8217311652640364	1.1534168279454589
GPB:bin_000177	1.1146456119989958	3.460384943226662
GPB:bin_000178	2.2681167688801196	2.023837207622822
GPB:bin_000181	4.308748350466305	5.250562782084124
GPB:bin_000183	0.2582787139337899	0.604614868591315
GPB:bin_000184	3.625392118222271	16.7679495275534
GPB:bin_000185	0.2972395192463055	0.37442360515554896
GPB:bin_000186	0.1009385353580082	1.7142519761925847
GPB:bin_000189	1.9039966433575446	1.8451668133721293
GPB:bin_000190	1.3913829927229837	1.5986467676005627
GPB:bin_000192	0.35648489861502203	1.1690389452083798
GPB:bin_000193	0.0019857886179499603	0.6606792279646109
GPB:bin_000194	2.103046156470443	3.8146305271464565
GPB:bin_000195	3.18429083189598e-4	0.022608464906461456
GPB:bin_000197	2.9463564857524287	4.332962219378702
GPB:bin_000198	0.07825760125248742	0.2807945832845605
GPB:bin_000199	4.925704445243458	2.07507143803342
GPB:bin_000200	0.3207339700063147	0.016164699514571394
GPB:bin_000202	0.7089963462687173	0.7887513015070216
