Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eO3_3 tile.czi,1,2753,688,old colon
G121eI B2-3 stitch.czi,4,2758.1,605,old caecum
G121eD3_2 tile.czi - Scene #2,3,2758.9,0,old ileum
G121eD3_3 tile.czi,1,2758.9,0,old ileum
G121eO3_1 tile.czi,2,2758.9,58,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2825.25,654,old caecum
G103bI3_1 tile.czi,2,2827.1,2284,young caecum
G121eO3_2 tile.czi,3,2830.7,117,old colon
G121eI B2-1 stitch.czi,3,2831.82,1034,old caecum
G121eO3_3 tile.czi,1,2832.8,873,old colon
G121eI B2-3 stitch.czi,4,2837.4,630,old caecum
G121eD3_2 tile.czi - Scene #2,3,2838.4,0,old ileum
G121eD3_3 tile.czi,1,2838.4,0,old ileum
G121eO3_1 tile.czi,2,2838.4,759,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2907.85,2050,old caecum
G121eO3_2 tile.czi,3,2911.3,761,old colon
G121eO3_3 tile.czi,1,2912.1,1224,old colon
G121eI B2-1 stitch.czi,3,2912.62,969,old caecum
G121eI B2-3 stitch.czi,4,2915.8,697,old caecum
G121eD3_2 tile.czi - Scene #2,3,2919,0,old ileum
G121eD3_3 tile.czi,1,2919,0,old ileum
G121eO3_1 tile.czi,2,2919,1166,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,2988.15,1636,old caecum
G121eO3_2 tile.czi,3,2991.9,779,old colon
G121eI B2-1 stitch.czi,3,2992.22,763,old caecum
G121eO3_3 tile.czi,1,2992.7,889,old colon
G121eI B2-3 stitch.czi,4,2995.6,711,old caecum
G121eD3_2 tile.czi - Scene #2,3,2999.6,0,old ileum
G121eD3_3 tile.czi,1,2999.6,2,old ileum
G121eO3_1 tile.czi,2,2999.6,414,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,3067.15,983,old caecum
G121eO3_3 tile.czi,1,3073.3,854,old colon
G121eO3_2 tile.czi,3,3073.7,857,old colon
G121eI B2-1 stitch.czi,3,3074.22,863,old caecum
G121eI B2-3 stitch.czi,4,3074.9,236,old caecum
G121eD3_2 tile.czi - Scene #2,3,3077.6,1,old ileum
G121eD3_3 tile.czi,1,3077.6,0,old ileum
