Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eO3_1 tile.czi,2,327.02,919,old colon
G121eI B2-1 stitch.czi,3,394.75,1181,old caecum
G121eD3_1 tile.czi,2,400.1,2,old ileum
G103bO2_1 tile.czi,3,401.09,0,young colon
G103bO2_2 tile.czi,1,401.1,58,young colon
G103bO2 tile.czi,2,402.1,6,young colon
G121eO3_2 tile.czi,3,403.3,373,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,403.67,2369,old caecum
G121eO3_3 tile.czi,1,405.3,1026,old colon
G103bI3_1 tile.czi,2,407.03,936,young caecum
G121eD3_2 tile.czi - Scene #2,3,407.2,321,old ileum
G121eD3_3 tile.czi,1,407.2,0,old ileum
G121eO3_1 tile.czi,2,407.2,737,old colon
G121eI B2-3 stitch.czi,4,407.2,74,old caecum
G103bI3_3 tiles.czi,1,407.23,1891,young caecum
G103bI3_2 tiles.czi,3,408.42,1397,young caecum
G121eI B2-1 stitch.czi,3,479.13,798,old caecum
G103bO2_1 tile.czi,3,481.31,0,young colon
G103bO2_2 tile.czi,1,481.71,70,young colon
G121eD3_1 tile.czi,2,482.3,0,old ileum
G103bO2 tile.czi,2,482.5,47,young colon
G121eO3_2 tile.czi,3,483.7,139,old colon
G121eI1_4 tile 241014 A cryosection.czi,6,483.89,2525,old caecum
G121eO3_3 tile.czi,1,484.7,880,old colon
G103bI3_3 tiles.czi,1,487.45,2823,young caecum
G121eI B2-3 stitch.czi,4,488,37,old caecum
G103bI3_1 tile.czi,2,488.04,897,young caecum
G103bI3_2 tiles.czi,3,488.45,487,young caecum
G121eD3_2 tile.czi - Scene #2,3,488.6,226,old ileum
G121eD3_3 tile.czi,1,488.6,2,old ileum
G121eO3_1 tile.czi,2,488.6,947,old colon
G121eI B2-1 stitch.czi,3,557.17,1019,old caecum
G103bO2 tile.czi,2,562.1,66,young colon
G103bO2_2 tile.czi,1,563.09,47,young colon
G121eO3_2 tile.czi,3,564.5,337,old colon
G121eD3_1 tile.czi,2,564.7,0,old ileum
G121eI1_4 tile 241014 A cryosection.czi,6,565.05,1573,old caecum
G121eO3_3 tile.czi,1,565.1,377,old colon
G103bI3_1 tile.czi,2,567.47,1388,young caecum
G121eI B2-3 stitch.czi,4,568.1,174,old caecum
G103bI3_3 tiles.czi,1,568.61,3051,young caecum
G121eD3_2 tile.czi - Scene #2,3,569.1,18,old ileum
G121eD3_3 tile.czi,1,569.1,0,old ileum
G121eO3_1 tile.czi,2,569.1,351,old colon
G103bI3_2 tiles.czi,3,569.46,492,young caecum
G121eI B2-1 stitch.czi,3,637.79,1211,old caecum
G103bO2 tile.czi,2,641.8,15,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,643.35,1220,old caecum
G103bO2_2 tile.czi,1,643.69,25,young colon
G121eO3_3 tile.czi,1,645.9,763,old colon
G103bI3_3 tiles.czi,1,646.91,3188,young caecum
G121eD3_1 tile.czi,2,647.1,0,old ileum
G121eI B2-3 stitch.czi,4,647.5,403,old caecum
G103bI3_1 tile.czi,2,647.69,1311,young caecum
G121eO3_2 tile.czi,3,649.1,386,old colon
G121eD3_2 tile.czi - Scene #2,3,649.3,0,old ileum
G121eD3_3 tile.czi,1,649.3,0,old ileum
G121eO3_1 tile.czi,2,649.3,932,old colon
G103bI3_2 tiles.czi,3,651.86,1085,young caecum
G121eI B2-1 stitch.czi,3,721.18,593,old caecum
G103bO2 tile.czi,2,722.6,39,young colon
G103bO2_2 tile.czi,1,724.19,50,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,726.15,2061,old caecum
G121eD3_1 tile.czi,2,727.12,13,old ileum
G121eI B2-3 stitch.czi,4,727.9,543,old caecum
G103bI3_1 tile.czi,2,727.9,1518,young caecum
G121eD3_2 tile.czi - Scene #2,3,729.3,0,old ileum
G121eD3_3 tile.czi,1,729.3,0,old ileum
G121eO3_1 tile.czi,2,729.3,569,old colon
G121eO3_2 tile.czi,3,729.7,420,old colon
G103bI3_3 tiles.czi,1,729.71,3116,young caecum
G121eO3_3 tile.czi,1,730.5,619,old colon
G103bI3_2 tiles.czi,3,733.46,1725,young caecum
G103bO2 tile.czi,2,803,23,young colon
G103bO2_2 tile.czi,1,804.99,10,young colon
G121eI B2-1 stitch.czi,3,805.95,649,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,807.15,2124,old caecum
G121eD3_1 tile.czi,2,807.3,75,old ileum
G121eI B2-3 stitch.czi,4,808.7,537,old caecum
G103bI3_1 tile.czi,2,808.9,1336,young caecum
G121eD3_2 tile.czi - Scene #2,3,810.7,0,old ileum
G121eD3_3 tile.czi,1,810.7,0,old ileum
G121eO3_1 tile.czi,2,810.7,534,old colon
G103bI3_3 tiles.czi,1,810.71,3188,young caecum
G121eO3_2 tile.czi,3,811.1,440,old colon
G121eO3_3 tile.czi,1,811.1,448,old colon
G103bI3_2 tiles.czi,3,813.68,895,young caecum
G103bO2 tile.czi,2,883,16,young colon
G103bO2_2 tile.czi,1,885.19,12,young colon
G121eI B2-1 stitch.czi,3,885.38,380,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,886.95,1696,old caecum
G121eD3_1 tile.czi,2,888.7,54,old ileum
G103bI3_1 tile.czi,2,889.1,1195,young caecum
G103bI3_3 tiles.czi,1,890.51,2986,young caecum
G121eO3_3 tile.czi,1,892.5,616,old colon
G121eD3_2 tile.czi - Scene #2,3,893.3,29,old ileum
G121eD3_3 tile.czi,1,893.3,50,old ileum
G121eO3_1 tile.czi,2,893.3,1066,old colon
G121eO3_2 tile.czi,3,893.3,1096,old colon
G121eI B2-3 stitch.czi,4,893.3,566,old caecum
G103bI3_2 tiles.czi,3,894.84,522,young caecum
G103bO2 tile.czi,2,963.4,23,young colon
G103bO2_2 tile.czi,1,964.79,34,young colon
G121eI B2-1 stitch.czi,3,967.42,894,old caecum
G121eI1_4 tile 241014 A cryosection.czi,6,968.35,265,old caecum
G121eD3_1 tile.czi,2,969.2,69,old ileum
G103bI3_1 tile.czi,2,970.2,996,young caecum
G103bI3_3 tiles.czi,1,971.91,2364,young caecum
G103bI3_2 tiles.czi,3,973.14,678,young caecum
G121eD3_2 tile.czi - Scene #2,3,973.7,122,old ileum
G121eD3_3 tile.czi,1,973.7,65,old ileum
G121eO3_1 tile.czi,2,973.7,484,old colon
G121eI B2-3 stitch.czi,4,973.9,558,old caecum
G121eO3_3 tile.czi,1,974.7,629,old colon
G121eO3_2 tile.czi,3,977.1,1215,old colon
G103bO2 tile.czi,2,1043.4,24,young colon
G103bO2_2 tile.czi,1,1044.39,59,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1047.65,349,old caecum
G121eD3_1 tile.czi,2,1049.4,24,old ileum
G121eI B2-1 stitch.czi,3,1049.42,1306,old caecum
G103bI3_1 tile.czi,2,1051.2,1547,young caecum
G103bI3_3 tiles.czi,1,1051.21,1816,young caecum
G121eD3_2 tile.czi - Scene #2,3,1054.5,268,old ileum
G121eD3_3 tile.czi,1,1054.5,12,old ileum
G121eO3_1 tile.czi,2,1054.5,946,old colon
G121eI B2-3 stitch.czi,4,1055.3,624,old caecum
G121eO3_3 tile.czi,1,1055.7,310,old colon
G103bI3_2 tiles.czi,3,1055.94,405,young caecum
G121eO3_2 tile.czi,3,1056.1,830,old colon
G103bO2 tile.czi,2,1124.3,4,young colon
G103bO2_2 tile.czi,1,1125.09,30,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1128.65,1064,old caecum
G121eI B2-1 stitch.czi,3,1128.82,1175,old caecum
G121eD3_1 tile.czi,2,1129.4,93,old ileum
G103bI3_1 tile.czi,2,1130.6,1083,young caecum
G103bI3_3 tiles.czi,1,1132.21,1892,young caecum
G121eD3_2 tile.czi - Scene #2,3,1134.6,280,old ileum
G121eD3_3 tile.czi,1,1134.6,0,old ileum
G121eO3_1 tile.czi,2,1134.6,1095,old colon
G121eO3_2 tile.czi,3,1135.2,535,old colon
G103bI3_2 tiles.czi,3,1136.94,381,young caecum
G121eO3_3 tile.czi,1,1137.5,293,old colon
G121eI B2-3 stitch.czi,4,1137.5,585,old caecum
G103bO2_2 tile.czi,1,1204.69,41,young colon
G103bO2 tile.czi,2,1204.7,11,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1208.85,425,old caecum
G121eI B2-1 stitch.czi,3,1209.62,955,old caecum
G121eD3_1 tile.czi,2,1210.8,0,old ileum
G103bI3_3 tiles.czi,1,1212.41,2219,young caecum
G103bI3_1 tile.czi,2,1213.2,1232,young caecum
G121eD3_2 tile.czi - Scene #2,3,1214,129,old ileum
G121eD3_3 tile.czi,1,1214,0,old ileum
G121eO3_1 tile.czi,2,1214,1296,old colon
G121eO3_3 tile.czi,1,1216.6,579,old colon
G103bI3_2 tiles.czi,3,1216.74,279,young caecum
G121eO3_2 tile.czi,3,1217.4,1213,old colon
G121eI B2-3 stitch.czi,4,1218.5,510,old caecum
G103bO2_2 tile.czi,1,1284.89,24,young colon
G103bO2 tile.czi,2,1285.9,37,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1290.05,1439,old caecum
G121eI B2-1 stitch.czi,3,1291.62,1111,old caecum
G121eD3_1 tile.czi,2,1293.4,0,old ileum
G103bI3_1 tile.czi,2,1293.4,1085,young caecum
G103bI3_3 tiles.czi,1,1293.61,2125,young caecum
G121eD3_2 tile.czi - Scene #2,3,1294.4,2,old ileum
G121eD3_3 tile.czi,1,1294.4,0,old ileum
G121eO3_1 tile.czi,2,1294.4,773,old colon
G121eO3_2 tile.czi,3,1298,592,old colon
G103bI3_2 tiles.czi,3,1298.14,261,young caecum
G121eO3_3 tile.czi,1,1298.8,1166,old colon
G121eI B2-3 stitch.czi,4,1300.3,397,old caecum
G103bO2_2 tile.czi,1,1365.49,17,young colon
G103bO2 tile.czi,2,1367.1,46,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1371.05,1216,old caecum
G121eI B2-1 stitch.czi,3,1373.02,1125,old caecum
G121eD3_1 tile.czi,2,1373.8,0,old ileum
G103bI3_1 tile.czi,2,1374.4,1012,young caecum
G103bI3_3 tiles.czi,1,1374.61,1910,young caecum
G121eD3_2 tile.czi - Scene #2,3,1375.2,69,old ileum
G121eD3_3 tile.czi,1,1375.2,0,old ileum
G121eO3_1 tile.czi,2,1375.2,608,old colon
G103bI3_2 tiles.czi,3,1377.44,544,young caecum
G121eO3_2 tile.czi,3,1378.6,622,old colon
G121eO3_3 tile.czi,1,1379.4,1281,old colon
G121eI B2-3 stitch.czi,4,1379.4,220,old caecum
G103bO2_2 tile.czi,1,1446.49,22,young colon
G103bO2 tile.czi,2,1446.7,26,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1452.05,262,old caecum
G121eD3_1 tile.czi,2,1454.6,0,old ileum
G103bI3_3 tiles.czi,1,1455.61,1793,young caecum
G121eI B2-1 stitch.czi,3,1455.62,448,old caecum
G103bI3_1 tile.czi,2,1457,1254,young caecum
G103bI3_2 tiles.czi,3,1458.44,567,young caecum
G121eO3_2 tile.czi,3,1458.8,0,old colon
G121eD3_2 tile.czi - Scene #2,3,1459.8,1,old ileum
G121eD3_3 tile.czi,1,1459.8,0,old ileum
G121eO3_1 tile.czi,2,1459.8,387,old colon
G121eO3_3 tile.czi,1,1460,1232,old colon
G121eI B2-3 stitch.czi,4,1461.6,231,old caecum
G103bO2_2 tile.czi,1,1526.69,20,young colon
G103bO2 tile.czi,2,1527.1,41,young colon
G121eI1_4 tile 241014 A cryosection.czi,6,1533.05,82,old caecum
G121eD3_1 tile.czi,2,1534.7,2,old ileum
G121eI B2-1 stitch.czi,3,1536.02,660,old caecum
G103bI3_3 tiles.czi,1,1536.61,1948,young caecum
G103bI3_1 tile.czi,2,1537.2,1405,young caecum
G103bI3_2 tiles.czi,3,1538.64,687,young caecum
G121eO3_2 tile.czi,3,1539.6,207,old colon
