microsample	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate
M301582	48787524	47517210	581392	1852905	7318128600	7098358243	29761198	0.508852	0.504765	0.489435
M301583	38901612	37385284	667586	1574573	5835241800	5581772870	26629824	0.511777	0.505579	0.502561
M301584	47520868	46327706	547886	2275227	7128130200	6911045674	38595890	0.50481	0.500919	0.42822
M301585	3974858	3833598	77682	292274	596228700	569768428	5498522	0.583967	0.580659	0.448444
M301586	1365986	1315378	22346	117233	204897900	194864033	2566766	0.498422	0.492632	0.451836
M301587	45633478	44677910	500276	1768732	6845021700	6674140273	27960863	0.507174	0.50435	0.480982
M301588	53111318	51865678	632736	2853593	7966697700	7731272705	49121675	0.507295	0.503942	0.517312
M301589	53299414	51804392	649146	1667854	7994912100	7743914239	27092945	0.50948	0.505073	0.308833
M301590	2120054	2005162	48472	145312	318008100	297909689	3225799	0.4781	0.468895	0.513502
M301591	50491772	49032364	713292	1737278	7573765800	7323142500	32851512	0.493379	0.48885	0.622591
M301592	9162502	8851422	143266	722762	1374375300	1313432143	15187210	0.492516	0.487419	0.585331
M301593	45166770	44116850	511490	2013553	6775015500	6583873683	34119673	0.508248	0.504856	0.344234
M301594	59037774	57848020	660722	2420705	8855666100	8638513715	39352482	0.525647	0.523337	0.411315
M301595	52825034	51361496	698454	2048589	7923755100	7671179944	33547932	0.507534	0.503383	0.443587
M301596	1756920	1674472	45742	167172	263538000	247807092	3533345	0.495723	0.488881	0.456581
M301597	57876030	56581560	612522	2076411	8681404500	8456836024	30530637	0.498999	0.495688	0.610135
M301598	53952664	52166840	829296	1573954	8092899600	7800155428	25266978	0.505348	0.500154	0.500746
M301599	37985688	37061928	472798	1777439	5697853200	5529261451	30436892	0.505014	0.501523	0.57916
M301600	3026286	2925030	48488	281097	453942900	433346793	5633803	0.498429	0.49338	0.530645
M301601	7035276	6757162	131772	605788	1055291400	1001791766	12310724	0.502827	0.496962	0.606532
M301602	58318572	56904708	687254	1740143	8747785800	8509217340	27170433	0.504164	0.500578	0.486441
M301603	49757536	48687272	521846	1907711	7463630400	7271341756	32251916	0.50688	0.503773	0.284398
M301604	54538454	53093968	737136	2439644	8180768100	7921535429	43130812	0.507447	0.503655	0.475814
M301605	5285012	5027512	155526	374702	792751800	747065291	7265034	0.488237	0.481233	0.578382
M301606	49407684	47938960	663258	1418404	7411152600	7169631974	21623850	0.508815	0.504227	0.381508
M301607	4026290	3877686	68746	353140	603943500	574897798	7066699	0.536405	0.531547	0.561987
M301608	64745148	63322132	717312	2518472	9711772200	9459997033	39052498	0.514261	0.511276	0.354259
M301609	57613690	56443488	610316	2358941	8642053500	8428047432	39051629	0.509909	0.507187	0.235638
M301610	17460588	16881640	339038	3060309	2619088200	2470311656	64675016	0.513189	0.50929	0.638762
M301611	11790000	11345630	238238	922503	1768500000	1682589433	21157500	0.468337	0.462437	0.573163
M301612	24910070	24179210	348866	2727699	3736510500	3577731584	50566093	0.491304	0.487123	0.676367
M301613	47841718	46348330	964468	3619442	7176257700	6887323292	70569656	0.51916	0.516102	0.62025
M301614	52949192	51240388	1080852	3515856	7942378800	7622951193	69141534	0.520781	0.517566	0.586074
M301615	3597480	3445146	67216	189928	539622000	513162875	3944554	0.480548	0.473404	0.639288
M301616	68559920	66348228	1380108	7340910	10283988000	9798014115	178678023	0.539535	0.537039	0.0998757
M301617	82694	78706	3042	3599	12404100	11744139	67448	0.511073	0.506264	0.131666
M301618	57331748	56132772	593636	1662507	8599762200	8395753106	24673714	0.505588	0.502622	0.396578
M301619	5251814	5007002	121136	500844	787772100	740399051	11169792	0.493634	0.486127	0.579597
M301620	53531746	52024252	713076	2081020	8029761900	7770053083	34401448	0.507485	0.503209	0.368229
M301621	51121596	50102710	549226	2205981	7668239400	7481106621	34768607	0.513835	0.511259	0.391887
M301622	58568244	56793492	779560	1297461	8785236600	8500160605	19245645	0.510633	0.505843	0.516627
M301623	33002536	31560330	623208	1694763	4950380400	4702654500	34565377	0.427202	0.418581	0.647707
M301624	25177646	24489664	333194	1364749	3776646900	3650984330	23109222	0.500972	0.496926	0.670612
M301625	50259472	49138712	547436	1606766	7538920800	7346254844	25214590	0.506011	0.502782	0.3274
M301626	11056296	10690424	161156	661530	1658444400	1592301200	11843024	0.487306	0.482241	0.621395
M301627	50947416	49879050	598110	2906931	7642112400	7432399316	49954900	0.508803	0.506129	0.562492
M301628	5454332	5273916	78166	633869	818149800	778675884	12864788	0.495158	0.489783	0.60344
M301629	60794018	59308114	696612	2097678	9119102700	8863256167	33639179	0.511946	0.508338	0.407944
M301630	8707582	8416878	137070	507233	1306137300	1252541179	10618529	0.48894	0.483689	0.596133
M301631	45449930	44233172	645624	2359712	6817489500	6594804259	40754298	0.510266	0.506546	0.336291
M301632	46263462	45130154	600160	1790299	6939519300	6742040576	27944755	0.510834	0.507523	0.306362
M301633	8215752	7848260	169472	417869	1232362800	1169400293	8355041	0.496813	0.489412	0.628713
M301634	61874372	60106724	788014	1545725	9281155800	8991886433	24755446	0.507448	0.50293	0.401283
M301635	6400440	6166956	103216	504862	960066000	914315620	11343545	0.494756	0.488918	0.599327
M301636	84510654	81954564	1082800	2476281	12676598100	12254974355	39221353	0.504967	0.500133	0.547327
M301637	3477594	3348048	63120	251145	521639100	497719407	4761870	0.491383	0.485618	0.604502
M301638	52160790	50515242	760536	1702276	7824118500	7550472230	27398884	0.508348	0.503418	0.395792
M301639	52957928	51449660	786012	1895517	7943689200	7686463246	31652780	0.510876	0.506763	0.367254
M301640	46249392	44863702	702274	1405541	6937408800	6705564723	24818608	0.509903	0.505578	0.484798
M301641	59819632	58206626	754472	2033779	8972944800	8698881117	32775153	0.513007	0.508971	0.414502
M301642	52324380	51122472	598868	1964040	7848657000	7638177913	30827246	0.505774	0.502439	0.506947
M301643	53028608	51494486	692248	1890737	7954291200	7690999246	33716987	0.493669	0.489	0.458434
M301644	2288510	2201396	41382	178677	343276500	326857097	3526910	0.48685	0.480798	0.531698
M301645	55452570	54092018	644156	1687178	8317885500	8089450674	24704507	0.509143	0.505513	0.478066
M301646	56994608	55353138	722822	1783656	8549191200	8275716287	27767100	0.51343	0.508951	0.490985
M301647	53891842	52613906	669418	1732992	8083776300	7865550506	26978374	0.504421	0.501088	0.486388
M301648	43454200	42527928	459238	1716345	6518130000	6350504589	29112092	0.508669	0.505623	0.150454
M301649	9652382	9366560	139756	995254	1447857300	1386722457	18886910	0.508737	0.504562	0.630492
M301650	918150	884746	14298	69870	137722500	131422206	1387041	0.486319	0.480166	0.512605
M301651	24384664	23574762	480290	894601	3657699600	3522819185	12632705	0.408041	0.402361	0.630649
M301652	1307472	1248760	23224	143803	196120800	184242665	3260108	0.486022	0.478031	0.538572
M301653	1444684	1396550	21448	102783	216702600	207718876	1859976	0.480392	0.474899	0.57637
M301654	1146734	1103096	21978	85791	172010100	163752424	1853944	0.482616	0.476639	0.546857
M301655	1159176	1103464	25432	79971	173876400	163935890	1694533	0.484312	0.476539	0.55889200000000006
M301656	1017534	971574	24062	116072	152630100	143086956	2789963	0.481862	0.474339	0.520863
M301657	2942742	2835418	49916	285606	441411300	419978484	5587681	0.494504	0.488699	0.607756
M301658	691094	667946	11304	144843	103664100	97131642	3145105	0.513876	0.509404	0.362217
M301659	1241088	1164406	33272	113674	186163200	171839042	3033020	0.480944	0.469859	0.418539
M301660	896624	863112	14488	146685	134493600	126250461	3371965	0.508499	0.502826	0.482914
M301661	1153060	1100854	27558	88679	172959000	163551552	1650513	0.493705	0.486862	0.522528
M301662	10388	5180	4858	281	1558200	773014	4847	0.541722	0.503554	0.0512129
M301663	722840	701082	9652	66166	108426000	103945269	1277885	0.488775	0.483894	0.596362
M301664	2985442	2915594	36302	381654	447816300	430567401	6848201	0.506785	0.503696	0.620923
M301665	34836	28966	5304	2985	5225400	4290748	55344	0.52548	0.513131	0.160466
