Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
H3,Plate 1_H4,35 bp to 100 bp,0.0232,0.2,0.6449,59,33.74,300,8.2,1,Positive,1,FA_A
H3,Plate 1_H4,100 bp to 200 bp,0.0838,0.7,0.8185,168,15.17,300,8.2,1,Positive,1,FA_A
H3,Plate 1_H4,200 bp to 1000 bp,11.5867,95.5,40.7299,468,35.99,300,8.2,1,Positive,1,FA_A
A4,Plate 1_A5,35 bp to 100 bp,0.018,0.7,0.4188,70,30.31,300,9,1,Positive,0.1,FA_A
A4,Plate 1_A5,100 bp to 200 bp,0.0131,0.5,0.1539,140,22.67,300,9,1,Positive,0.1,FA_A
A4,Plate 1_A5,200 bp to 1000 bp,2.5075,96.3,8.585,481,31.33,300,9,1,Positive,0.1,FA_A
B4,Plate 1_B5,35 bp to 100 bp,0.0154,15.9,0.403,63,33.1,300,4.5,1,Negative,0.1,FA_A
B4,Plate 1_B5,100 bp to 200 bp,0.006,6.2,0.0737,134,16.91,300,4.5,1,Negative,0.1,FA_A
B4,Plate 1_B5,200 bp to 1000 bp,0.0535,55.2,0.2245,392,29.86,300,4.5,1,Negative,0.1,FA_A
C4,Plate 1_C5,35 bp to 100 bp,0.03,1.1,0.6758,73,23.39,300,8.7,1,Positive,0.1,FA_A
C4,Plate 1_C5,100 bp to 200 bp,0.0412,1.6,0.5289,128,22.05,300,8.7,1,Positive,0.1,FA_A
C4,Plate 1_C5,200 bp to 1000 bp,2.506,94.9,8.5205,484,32.7,300,8.7,1,Positive,0.1,FA_A
D4,Plate 1_D5,35 bp to 100 bp,0.025,1.6,0.5801,71,28.12,300,8,1,Positive,0.1,FA_A
D4,Plate 1_D5,100 bp to 200 bp,0.0327,2,0.3725,144,22.09,300,8,1,Positive,0.1,FA_A
D4,Plate 1_D5,200 bp to 1000 bp,1.5045,94,5.3553,462,35.17,300,8,1,Positive,0.1,FA_A
E4,Plate 1_E5,35 bp to 100 bp,0.0159,0.3,0.4038,65,31.3,300,9,1,Positive,0.1,FA_A
E4,Plate 1_E5,100 bp to 200 bp,0.0278,0.6,0.3115,146,22.79,300,9,1,Positive,0.1,FA_A
E4,Plate 1_E5,200 bp to 1000 bp,4.4379,97.2,15.2022,480,31.57,300,9,1,Positive,0.1,FA_A
F4,Plate 1_F5,35 bp to 100 bp,0.0101,0.5,0.3064,54,32.5,300,8.2,1,Positive,0.1,FA_A
F4,Plate 1_F5,100 bp to 200 bp,0.0116,0.5,0.1149,166,18.96,300,8.2,1,Positive,0.1,FA_A
F4,Plate 1_F5,200 bp to 1000 bp,2.1082,95.6,7.5387,460,35.06,300,8.2,1,Positive,0.1,FA_A
G4,Plate 1_G5,35 bp to 100 bp,0.0171,10.7,0.4777,59,31.89,300,4.9,1,Negative,0.1,FA_A
G4,Plate 1_G5,100 bp to 200 bp,0.0156,9.8,0.1854,139,19.88,300,4.9,1,Negative,0.1,FA_A
G4,Plate 1_G5,200 bp to 1000 bp,0.1028,64.6,0.4324,391,32.38,300,4.9,1,Negative,0.1,FA_A
H4,Plate 1_H5,35 bp to 100 bp,0.0276,0.6,0.7034,64,31.21,300,7.5,1,Positive,0.1,FA_A
H4,Plate 1_H5,100 bp to 200 bp,0.0339,0.7,0.3598,155,21.78,300,7.5,1,Positive,0.1,FA_A
H4,Plate 1_H5,200 bp to 1000 bp,4.5625,96.7,17.204,436,37.02,300,7.5,1,Positive,0.1,FA_A
A5,Plate 2_A2,35 bp to 100 bp,0.0371,20.6,0.835,73,22.2,300,3.9,2,Negative,0.01,FA_A
A5,Plate 2_A2,100 bp to 200 bp,0.0325,18,0.4802,111,16.9,300,3.9,2,Negative,0.01,FA_A
A5,Plate 2_A2,200 bp to 1000 bp,0.0926,51.4,0.3878,393,35.31,300,3.9,2,Negative,0.01,FA_A
B5,Plate 2_B2,35 bp to 100 bp,0.1061,30.8,1.9653,89,18.09,300,4,2,Positive,0.01,FA_A
B5,Plate 2_B2,100 bp to 200 bp,0.0205,6,0.2743,123,24.57,300,4,2,Positive,0.01,FA_A
B5,Plate 2_B2,200 bp to 1000 bp,0.2028,58.9,0.8754,381,36.13,300,4,2,Positive,0.01,FA_A
C5,Plate 2_C2,35 bp to 100 bp,0.0353,10.5,0.773,75,25.44,300,5.3,2,Positive,0.01,FA_A
C5,Plate 2_C2,100 bp to 200 bp,0.0327,9.8,0.4032,133,25.2,300,5.3,2,Positive,0.01,FA_A
C5,Plate 2_C2,200 bp to 1000 bp,0.25,74.6,1.0362,397,36.91,300,5.3,2,Positive,0.01,FA_A
D5,Plate 2_D2,35 bp to 100 bp,0.1179,28.3,2.3131,84,13.38,300,4.3,2,Positive,0.01,FA_A
D5,Plate 2_D2,100 bp to 200 bp,0.0248,5.9,0.3021,135,25.55,300,4.3,2,Positive,0.01,FA_A
D5,Plate 2_D2,200 bp to 1000 bp,0.2573,61.7,1.061,399,36.52,300,4.3,2,Positive,0.01,FA_A
E5,Plate 2_E2,35 bp to 100 bp,0.0175,5.2,0.4178,69,29.38,300,7.3,2,Positive,0.01,FA_A
E5,Plate 2_E2,100 bp to 200 bp,0.0121,3.6,0.1436,139,21.77,300,7.3,2,Positive,0.01,FA_A
E5,Plate 2_E2,200 bp to 1000 bp,0.2804,83.5,1.0407,443,34.49,300,7.3,2,Positive,0.01,FA_A
F5,Plate 2_F2,35 bp to 100 bp,0.0929,14.6,1.8984,80,20.19,300,4.1,2,Positive,0.01,FA_A
F5,Plate 2_F2,100 bp to 200 bp,0.139,21.8,1.7802,128,19.92,300,4.1,2,Positive,0.01,FA_A
F5,Plate 2_F2,200 bp to 1000 bp,0.3925,61.6,1.6665,388,37.04,300,4.1,2,Positive,0.01,FA_A
G5,Plate 2_G2,35 bp to 100 bp,0.0067,6.3,0.1789,62,31.27,300,6.2,2,Negative,0.01,FA_A
G5,Plate 2_G2,100 bp to 200 bp,0.0048,4.5,0.0627,127,16.77,300,6.2,2,Negative,0.01,FA_A
G5,Plate 2_G2,200 bp to 1000 bp,0.0837,78.5,0.3402,405,29.63,300,6.2,2,Negative,0.01,FA_A
H5,Plate 2_H2,35 bp to 100 bp,0.0157,3.7,0.4262,61,33.21,300,6.2,2,Positive,0.01,FA_A
H5,Plate 2_H2,100 bp to 200 bp,0.0206,4.9,0.2194,155,20.26,300,6.2,2,Positive,0.01,FA_A
H5,Plate 2_H2,200 bp to 1000 bp,0.3593,85.2,1.4261,414,37.17,300,6.2,2,Positive,0.01,FA_A
A6,Plate 2_A3,35 bp to 100 bp,0.0824,6.1,1.6923,80,18.55,300,7,2,Positive,0.1,FA_A
A6,Plate 2_A3,100 bp to 200 bp,0.0532,3.9,0.692,126,23.26,300,7,2,Positive,0.1,FA_A
A6,Plate 2_A3,200 bp to 1000 bp,1.1601,86,4.1123,464,38.13,300,7,2,Positive,0.1,FA_A
B6,Plate 2_B3,35 bp to 100 bp,0.0225,0.6,0.5148,72,25.86,300,7.9,2,Positive,0.1,FA_A
B6,Plate 2_B3,100 bp to 200 bp,0.0319,0.9,0.3665,143,25.22,300,7.9,2,Positive,0.1,FA_A
B6,Plate 2_B3,200 bp to 1000 bp,3.4127,97,13.236,424,34.59,300,7.9,2,Positive,0.1,FA_A
C6,Plate 2_C3,35 bp to 100 bp,0.0536,25.8,1.142,77,19.4,300,3.9,2,Negative,0.1,FA_A
C6,Plate 2_C3,100 bp to 200 bp,0.0296,14.3,0.4084,119,21.55,300,3.9,2,Negative,0.1,FA_A
C6,Plate 2_C3,200 bp to 1000 bp,0.1033,49.7,0.4199,405,36.15,300,3.9,2,Negative,0.1,FA_A
D6,Plate 2_D3,35 bp to 100 bp,0.0341,1.2,0.7141,78,21.92,300,7.9,2,Positive,0.1,FA_A
D6,Plate 2_D3,100 bp to 200 bp,0.0323,1.1,0.3909,136,27.86,300,7.9,2,Positive,0.1,FA_A
D6,Plate 2_D3,200 bp to 1000 bp,2.8175,96,10.3186,449,35.51,300,7.9,2,Positive,0.1,FA_A
E6,Plate 2_E3,35 bp to 100 bp,0.0371,1,0.8023,76,24.29,300,7.9,2,Positive,0.1,FA_A
E6,Plate 2_E3,100 bp to 200 bp,0.0285,0.8,0.3152,148,25.22,300,7.9,2,Positive,0.1,FA_A
E6,Plate 2_E3,200 bp to 1000 bp,3.5243,96.1,12.8144,453,36.01,300,7.9,2,Positive,0.1,FA_A
F6,Plate 2_F3,35 bp to 100 bp,0.1608,46.1,3.2404,81,19.4,300,3.3,2,Negative,0.1,FA_A
F6,Plate 2_F3,100 bp to 200 bp,0.0239,6.9,0.3109,127,22.69,300,3.3,2,Negative,0.1,FA_A
F6,Plate 2_F3,200 bp to 1000 bp,0.1532,43.9,0.6562,384,30.9,300,3.3,2,Negative,0.1,FA_A
G6,Plate 2_G3,35 bp to 100 bp,0.0355,0.4,0.8578,68,28.46,300,8.7,2,Positive,0.1,FA_A
G6,Plate 2_G3,100 bp to 200 bp,0.0342,0.4,0.3364,167,19.33,300,8.7,2,Positive,0.1,FA_A
G6,Plate 2_G3,200 bp to 1000 bp,8.8947,97.1,31.0804,471,33,300,8.7,2,Positive,0.1,FA_A
H6,Plate 2_H3,35 bp to 100 bp,0.0338,1.6,0.7746,71,26.19,300,7,2,Positive,0.1,FA_A
H6,Plate 2_H3,100 bp to 200 bp,0.0877,4.1,1.1175,129,24.82,300,7,2,Positive,0.1,FA_A
H6,Plate 2_H3,200 bp to 1000 bp,1.9655,92,7.4861,432,37.55,300,7,2,Positive,0.1,FA_A
A7,Plate 2_A4,35 bp to 100 bp,0.0555,0.3,1.3132,69,28.09,300,7.8,2,Positive,1,FA_A
A7,Plate 2_A4,100 bp to 200 bp,0.129,0.6,1.2905,164,16.48,300,7.8,2,Positive,1,FA_A
A7,Plate 2_A4,200 bp to 1000 bp,20.1184,97.4,81.638,405,34.82,300,7.8,2,Positive,1,FA_A
B7,Plate 2_B4,35 bp to 100 bp,0.0808,0.5,1.9533,68,25.56,300,7.6,2,Positive,1,FA_A
B7,Plate 2_B4,100 bp to 200 bp,0.1809,1.1,1.8433,161,18.7,300,7.6,2,Positive,1,FA_A
B7,Plate 2_B4,200 bp to 1000 bp,15.9462,96.7,65.5993,400,35.13,300,7.6,2,Positive,1,FA_A
C7,Plate 2_C4,35 bp to 100 bp,0.0794,0.5,1.9231,68,26.19,300,7.8,2,Positive,1,FA_A
C7,Plate 2_C4,100 bp to 200 bp,0.1663,1,1.6919,162,18.55,300,7.8,2,Positive,1,FA_A
C7,Plate 2_C4,200 bp to 1000 bp,15.5976,96.4,60.9101,421,36.54,300,7.8,2,Positive,1,FA_A
D7,Plate 2_D4,35 bp to 100 bp,0.0501,0.5,1.2155,68,27.48,300,7.4,2,Positive,1,FA_A
D7,Plate 2_D4,100 bp to 200 bp,0.1693,1.6,1.6747,166,16.98,300,7.4,2,Positive,1,FA_A
D7,Plate 2_D4,200 bp to 1000 bp,10.2766,95.8,41.6296,406,36.45,300,7.4,2,Positive,1,FA_A
E7,Plate 2_E4,35 bp to 100 bp,0.1738,54.7,3.614,79,20.24,300,2,2,Negative,1,FA_A
