Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,Plate,Type,Concentration,FA_plate
C7,Plate 2_C9,35 bp to 100 bp,0.037,0.2,0.8183,74,26.44,300,6.7,2,Positive,1,FA_B
C7,Plate 2_C9,100 bp to 200 bp,0.0811,0.5,0.8454,158,20.26,300,6.7,2,Positive,1,FA_B
C7,Plate 2_C9,200 bp to 1000 bp,16.9022,98.7,73.5681,378,34.41,300,6.7,2,Positive,1,FA_B
D7,Plate 2_D9,35 bp to 100 bp,0.0556,0.3,1.2142,75,27.08,300,8.4,2,Positive,1,FA_B
D7,Plate 2_D9,100 bp to 200 bp,0.0748,0.5,0.8282,148,23.19,300,8.4,2,Positive,1,FA_B
D7,Plate 2_D9,200 bp to 1000 bp,16.0143,98.1,61.0689,431,32.9,300,8.4,2,Positive,1,FA_B
E7,Plate 2_E9,35 bp to 100 bp,0.0661,0.5,1.4092,77,24.07,300,7.8,2,Positive,1,FA_B
E7,Plate 2_E9,100 bp to 200 bp,0.1322,0.9,1.5632,139,24.75,300,7.8,2,Positive,1,FA_B
E7,Plate 2_E9,200 bp to 1000 bp,14.1736,97.2,54.3789,429,34.99,300,7.8,2,Positive,1,FA_B
F7,Plate 2_F9,35 bp to 100 bp,0.0742,0.4,1.5978,76,26.02,300,8.4,2,Positive,1,FA_B
F7,Plate 2_F9,100 bp to 200 bp,0.1048,0.5,1.2157,142,22.12,300,8.4,2,Positive,1,FA_B
F7,Plate 2_F9,200 bp to 1000 bp,20.0994,98.5,79.9727,414,29.71,300,8.4,2,Positive,1,FA_B
G7,Plate 2_G9,35 bp to 100 bp,0.1121,1.7,2.2365,82,18.88,300,7.7,2,Positive,1,FA_B
G7,Plate 2_G9,100 bp to 200 bp,0.3281,4.9,4.16,130,22.65,300,7.7,2,Positive,1,FA_B
G7,Plate 2_G9,200 bp to 1000 bp,6.2413,92.5,23.6579,434,33.14,300,7.7,2,Positive,1,FA_B
H7,Plate 2_H9,35 bp to 100 bp,0.0595,0.3,1.3068,75,25.97,300,8.1,2,Positive,1,FA_B
H7,Plate 2_H9,100 bp to 200 bp,0.1131,0.6,1.3216,141,23.74,300,8.1,2,Positive,1,FA_B
H7,Plate 2_H9,200 bp to 1000 bp,19.0472,98.4,76.6483,409,31.84,300,8.1,2,Positive,1,FA_B
A8,Plate 2_A10,35 bp to 100 bp,0.0265,1.2,0.5966,73,27.23,300,6.2,2,Positive,0.1,FA_B
A8,Plate 2_A10,100 bp to 200 bp,0.0359,1.7,0.3757,157,23.1,300,6.2,2,Positive,0.1,FA_B
A8,Plate 2_A10,200 bp to 1000 bp,2.0768,95.9,8.545,400,39.32,300,6.2,2,Positive,0.1,FA_B
B8,Plate 2_B10,35 bp to 100 bp,0.0219,0.9,0.4622,78,24.07,300,6.9,2,Positive,0.1,FA_B
B8,Plate 2_B10,100 bp to 200 bp,0.051,2,0.6375,131,25.17,300,6.9,2,Positive,0.1,FA_B
B8,Plate 2_B10,200 bp to 1000 bp,2.3854,95.3,9.3042,422,38.59,300,6.9,2,Positive,0.1,FA_B
C8,Plate 2_C10,35 bp to 100 bp,0.0314,1.2,0.6852,75,23.4,300,6.6,2,Positive,0.1,FA_B
C8,Plate 2_C10,100 bp to 200 bp,0.0625,2.3,0.7386,139,25.41,300,6.6,2,Positive,0.1,FA_B
C8,Plate 2_C10,200 bp to 1000 bp,2.5801,95.2,10.9099,389,36.85,300,6.6,2,Positive,0.1,FA_B
D8,Plate 2_D10,35 bp to 100 bp,0.0439,21.6,0.8659,83,21.56,300,3.4,2,Negative,0.1,FA_B
D8,Plate 2_D10,100 bp to 200 bp,0.032,15.8,0.4168,126,25.44,300,3.4,2,Negative,0.1,FA_B
D8,Plate 2_D10,200 bp to 1000 bp,0.1216,59.8,0.5829,343,32.58,300,3.4,2,Negative,0.1,FA_B
E8,Plate 2_E10,35 bp to 100 bp,0.0461,1.8,0.9511,79,21.57,300,7.2,2,Positive,0.1,FA_B
E8,Plate 2_E10,100 bp to 200 bp,0.0249,1,0.2914,140,25.32,300,7.2,2,Positive,0.1,FA_B
E8,Plate 2_E10,200 bp to 1000 bp,2.4219,95.3,9.6097,415,37.16,300,7.2,2,Positive,0.1,FA_B
F8,Plate 2_F10,35 bp to 100 bp,0.0408,1,0.9739,69,27.72,300,8,2,Positive,0.1,FA_B
F8,Plate 2_F10,100 bp to 200 bp,0.048,1.1,0.5487,144,23.11,300,8,2,Positive,0.1,FA_B
F8,Plate 2_F10,200 bp to 1000 bp,4.0518,96.9,14.9734,445,34.44,300,8,2,Positive,0.1,FA_B
G8,Plate 2_G10,35 bp to 100 bp,0.0153,17.7,0.3959,63,30.62,300,3.1,2,Negative,0.1,FA_B
G8,Plate 2_G10,100 bp to 200 bp,0.0077,8.9,0.0893,141,20.26,300,3.1,2,Negative,0.1,FA_B
G8,Plate 2_G10,200 bp to 1000 bp,0.0449,51.9,0.2167,341,27.31,300,3.1,2,Negative,0.1,FA_B
H8,Plate 2_H10,35 bp to 100 bp,0.0143,0.4,0.3742,62,30.43,300,3.9,2,Positive,0.1,FA_B
H8,Plate 2_H10,100 bp to 200 bp,0.1332,4,1.1885,184,9.93,300,3.9,2,Positive,0.1,FA_B
H8,Plate 2_H10,200 bp to 1000 bp,3.1834,95.2,16.6928,314,31.53,300,3.9,2,Positive,0.1,FA_B
A9,Plate 3_A7,35 bp to 100 bp,0.0134,4,0.3269,67,30.17,300,4.5,3,Positive,0.01,FA_B
A9,Plate 3_A7,100 bp to 200 bp,0.0458,13.7,0.5712,132,17.15,300,4.5,3,Positive,0.01,FA_B
A9,Plate 3_A7,200 bp to 1000 bp,0.2624,78.7,1.2178,354,34.43,300,4.5,3,Positive,0.01,FA_B
B9,Plate 3_B7,35 bp to 100 bp,0.033,10.1,0.7985,68,27.51,300,4.7,3,Positive,0.01,FA_B
B9,Plate 3_B7,100 bp to 200 bp,0.0319,9.7,0.3848,136,17.7,300,4.7,3,Positive,0.01,FA_B
B9,Plate 3_B7,200 bp to 1000 bp,0.2467,75.1,1.1116,365,35.32,300,4.7,3,Positive,0.01,FA_B
C9,Plate 3_C7,35 bp to 100 bp,0.0229,11.7,0.5802,65,30.58,300,3.6,3,Negative,0.01,FA_B
C9,Plate 3_C7,100 bp to 200 bp,0.0359,18.3,0.4385,135,14.6,300,3.6,3,Negative,0.01,FA_B
C9,Plate 3_C7,200 bp to 1000 bp,0.1202,61.1,0.5724,345,29.04,300,3.6,3,Negative,0.01,FA_B
D9,Plate 3_D7,35 bp to 100 bp,0.0146,3.8,0.3755,64,31.41,300,5.7,3,Positive,0.01,FA_B
D9,Plate 3_D7,100 bp to 200 bp,0.0178,4.6,0.2043,143,20.42,300,5.7,3,Positive,0.01,FA_B
D9,Plate 3_D7,200 bp to 1000 bp,0.3345,86.6,1.4662,375,34.57,300,5.7,3,Positive,0.01,FA_B
E9,Plate 3_E7,35 bp to 100 bp,0.0273,7.3,0.7346,61,26.2,300,4.7,3,Positive,0.01,FA_B
E9,Plate 3_E7,100 bp to 200 bp,0.0149,4,0.1759,139,18.46,300,4.7,3,Positive,0.01,FA_B
E9,Plate 3_E7,200 bp to 1000 bp,0.3023,81.1,1.4618,340,27.7,300,4.7,3,Positive,0.01,FA_B
F9,Plate 3_F7,35 bp to 100 bp,0.0138,9,0.3661,62,31.1,300,4.8,3,Negative,0.01,FA_B
F9,Plate 3_F7,100 bp to 200 bp,0.0178,11.7,0.2094,140,14.49,300,4.8,3,Negative,0.01,FA_B
F9,Plate 3_F7,200 bp to 1000 bp,0.1061,69.7,0.4666,374,31.82,300,4.8,3,Negative,0.01,FA_B
G9,Plate 3_G7,35 bp to 100 bp,0.0187,6.8,0.4712,65,31.12,300,4.9,3,Positive,0.01,FA_B
G9,Plate 3_G7,100 bp to 200 bp,0.0152,5.5,0.1855,135,21.9,300,4.9,3,Positive,0.01,FA_B
G9,Plate 3_G7,200 bp to 1000 bp,0.2271,82.4,1.0205,366,35.47,300,4.9,3,Positive,0.01,FA_B
H9,Plate 3_H7,35 bp to 100 bp,0.0144,3.5,0.4031,59,29.21,300,5.8,3,Positive,0.01,FA_B
H9,Plate 3_H7,100 bp to 200 bp,0.0259,6.3,0.3032,140,15.82,300,5.8,3,Positive,0.01,FA_B
H9,Plate 3_H7,200 bp to 1000 bp,0.3538,85.5,1.5675,371,33.09,300,5.8,3,Positive,0.01,FA_B
A10,Plate 3_A8,35 bp to 100 bp,0.0102,0.3,0.3004,56,26.84,300,6.6,3,Positive,0.1,FA_B
A10,Plate 3_A8,100 bp to 200 bp,0.0154,0.5,0.1436,176,15.09,300,6.6,3,Positive,0.1,FA_B
A10,Plate 3_A8,200 bp to 1000 bp,2.9338,97.7,12.6001,383,37.04,300,6.6,3,Positive,0.1,FA_B
B10,Plate 3_B8,35 bp to 100 bp,0.0178,0.5,0.4345,67,27.94,300,6.3,3,Positive,0.1,FA_B
B10,Plate 3_B8,100 bp to 200 bp,0.04,1.1,0.4018,164,20.66,300,6.3,3,Positive,0.1,FA_B
B10,Plate 3_B8,200 bp to 1000 bp,3.6239,97.2,15.5296,384,38.61,300,6.3,3,Positive,0.1,FA_B
C10,Plate 3_C8,35 bp to 100 bp,0.0151,0.4,0.3843,64,29.84,300,6.7,3,Positive,0.1,FA_B
C10,Plate 3_C8,100 bp to 200 bp,0.0632,1.5,0.6434,161,19.23,300,6.7,3,Positive,0.1,FA_B
C10,Plate 3_C8,200 bp to 1000 bp,3.994,96.8,16.6502,395,37.72,300,6.7,3,Positive,0.1,FA_B
D10,Plate 3_D8,35 bp to 100 bp,0.019,5.9,0.4647,67,28.98,300,5.1,3,Negative,0.1,FA_B
D10,Plate 3_D8,100 bp to 200 bp,0.0344,10.7,0.413,137,21.25,300,5.1,3,Negative,0.1,FA_B
D10,Plate 3_D8,200 bp to 1000 bp,0.2538,79,1.1679,357,30.23,300,5.1,3,Negative,0.1,FA_B
E10,Plate 3_E8,35 bp to 100 bp,0.0143,0.4,0.3749,63,28.7,300,7.6,3,Positive,0.1,FA_B
E10,Plate 3_E8,100 bp to 200 bp,0.0225,0.6,0.2312,160,19.89,300,7.6,3,Positive,0.1,FA_B
E10,Plate 3_E8,200 bp to 1000 bp,3.7771,97.8,15.415,403,33.39,300,7.6,3,Positive,0.1,FA_B
F10,Plate 3_F8,35 bp to 100 bp,0.0466,0.9,1.0009,76,17.88,300,7.2,3,Positive,0.1,FA_B
F10,Plate 3_F8,100 bp to 200 bp,0.0418,0.8,0.4132,166,18.54,300,7.2,3,Positive,0.1,FA_B
F10,Plate 3_F8,200 bp to 1000 bp,4.8204,97.1,19.8514,400,35.7,300,7.2,3,Positive,0.1,FA_B
G10,Plate 3_G8,35 bp to 100 bp,0.0158,0.5,0.4259,61,31.42,300,7.1,3,Positive,0.1,FA_B
G10,Plate 3_G8,100 bp to 200 bp,0.0254,0.7,0.2556,164,18.9,300,7.1,3,Positive,0.1,FA_B
G10,Plate 3_G8,200 bp to 1000 bp,3.3499,97.3,13.4443,410,37.48,300,7.1,3,Positive,0.1,FA_B
H10,Plate 3_H8,35 bp to 100 bp,0.0148,15.2,0.4091,59,31.01,300,2.9,3,Negative,0.1,FA_B
H10,Plate 3_H8,100 bp to 200 bp,0.0133,13.7,0.1596,137,16.39,300,2.9,3,Negative,0.1,FA_B
H10,Plate 3_H8,200 bp to 1000 bp,0.0522,53.8,0.2742,313,20.58,300,2.9,3,Negative,0.1,FA_B
A11,Plate 3_A9,35 bp to 100 bp,0.0224,0.1,0.5678,65,31.3,300,8,3,Positive,1,FA_B
A11,Plate 3_A9,100 bp to 200 bp,0.0555,0.3,0.5502,166,18.22,300,8,3,Positive,1,FA_B
A11,Plate 3_A9,200 bp to 1000 bp,17.8791,98.5,72.3233,407,33.52,300,8,3,Positive,1,FA_B
B11,Plate 3_B9,35 bp to 100 bp,0.0249,25.7,0.5308,77,23.86,300,2.3,3,Negative,1,FA_B
B11,Plate 3_B9,100 bp to 200 bp,0.0206,21.3,0.2609,130,20.41,300,2.3,3,Negative,1,FA_B
B11,Plate 3_B9,200 bp to 1000 bp,0.0408,42.2,0.209,321,27.03,300,2.3,3,Negative,1,FA_B
C11,Plate 3_C9,35 bp to 100 bp,0.0202,0.1,0.5078,65,31.18,300,7.2,3,Positive,1,FA_B
C11,Plate 3_C9,100 bp to 200 bp,0.0816,0.4,0.8134,165,16.58,300,7.2,3,Positive,1,FA_B
C11,Plate 3_C9,200 bp to 1000 bp,19.5419,99.1,85.3237,377,32.22,300,7.2,3,Positive,1,FA_B
D11,Plate 3_D9,35 bp to 100 bp,0.0254,0.1,0.6714,62,33.84,300,8.6,3,Positive,1,FA_B
D11,Plate 3_D9,100 bp to 200 bp,0.0522,0.2,0.5241,164,17.36,300,8.6,3,Positive,1,FA_B
D11,Plate 3_D9,200 bp to 1000 bp,21.4053,98.7,83.6035,421,30.35,300,8.6,3,Positive,1,FA_B
E11,Plate 3_E9,35 bp to 100 bp,0.0254,0.1,0.6306,66,32.54,300,8,3,Positive,1,FA_B
E11,Plate 3_E9,100 bp to 200 bp,0.088,0.4,0.9316,155,19.41,300,8,3,Positive,1,FA_B
E11,Plate 3_E9,200 bp to 1000 bp,20.1051,98.4,78.7781,420,33.83,300,8,3,Positive,1,FA_B
F11,Plate 3_F9,35 bp to 100 bp,0.039,0.1,0.9739,66,33.73,300,8.9,3,Positive,1,FA_B
F11,Plate 3_F9,100 bp to 200 bp,0.0709,0.3,0.7891,148,21.56,300,8.9,3,Positive,1,FA_B
F11,Plate 3_F9,200 bp to 1000 bp,26.3999,98.7,99.7317,436,28.03,300,8.9,3,Positive,1,FA_B
G11,Plate 3_G9,35 bp to 100 bp,0.2946,5.7,5.4402,89,17.65,300,6.6,3,Positive,1,FA_B
G11,Plate 3_G9,100 bp to 200 bp,0.3211,6.2,3.6817,143,23.44,300,6.6,3,Positive,1,FA_B
G11,Plate 3_G9,200 bp to 1000 bp,4.4183,85.8,18.1001,402,37.06,300,6.6,3,Positive,1,FA_B
H11,Plate 3_H9,35 bp to 100 bp,0.0299,0.1,0.8245,60,33.04,300,8.6,3,Positive,1,FA_B
H11,Plate 3_H9,100 bp to 200 bp,0.1816,0.7,1.8852,158,11.24,300,8.6,3,Positive,1,FA_B
H11,Plate 3_H9,200 bp to 1000 bp,25.1104,98.3,99.6427,415,28.99,300,8.6,3,Positive,1,FA_B
A12,Plate 3_A10,35 bp to 100 bp,0.0002,0,0.0046,67,0.43,300,7.2,3,Positive,0.1,FA_B
A12,Plate 3_A10,100 bp to 200 bp,0.0076,0.2,0.071,175,18.51,300,7.2,3,Positive,0.1,FA_B
A12,Plate 3_A10,200 bp to 1000 bp,4.5575,99.4,19.7061,380,33.35,300,7.2,3,Positive,0.1,FA_B
B12,Plate 3_B10,35 bp to 100 bp,0.0162,0.2,0.3928,68,30.75,300,8.4,3,Positive,0.1,FA_B
B12,Plate 3_B10,100 bp to 200 bp,0.0591,0.9,0.6739,144,20.21,300,8.4,3,Positive,0.1,FA_B
B12,Plate 3_B10,200 bp to 1000 bp,6.7568,97.8,24.9132,446,32.33,300,8.4,3,Positive,0.1,FA_B
C12,Plate 3_C10,35 bp to 100 bp,0.0111,0.5,0.2906,63,29.95,300,7,3,Positive,0.1,FA_B
C12,Plate 3_C10,100 bp to 200 bp,0.0251,1.1,0.2451,168,17.67,300,7,3,Positive,0.1,FA_B
C12,Plate 3_C10,200 bp to 1000 bp,2.3161,97.4,9.6169,396,36.82,300,7,3,Positive,0.1,FA_B
D12,Plate 3_D10,35 bp to 100 bp,0.0174,6.2,0.426,67,29.4,300,5.6,3,Negative,0.1,FA_B
D12,Plate 3_D10,100 bp to 200 bp,0.0239,8.6,0.2772,141,21.95,300,5.6,3,Negative,0.1,FA_B
D12,Plate 3_D10,200 bp to 1000 bp,0.2261,81.4,1,372,31.38,300,5.6,3,Negative,0.1,FA_B
E12,Plate 3_E10,35 bp to 100 bp,0.013,0.5,0.3319,64,32.03,300,8.2,3,Positive,0.1,FA_B
E12,Plate 3_E10,100 bp to 200 bp,0.0532,1.9,0.593,147,15.69,300,8.2,3,Positive,0.1,FA_B
E12,Plate 3_E10,200 bp to 1000 bp,2.706,96.1,10.7329,415,30.29,300,8.2,3,Positive,0.1,FA_B
F12,Plate 3_F10,35 bp to 100 bp,0.0118,0.4,0.3126,62,28.92,300,7.5,3,Positive,0.1,FA_B
F12,Plate 3_F10,100 bp to 200 bp,0.0315,1,0.31,167,15.92,300,7.5,3,Positive,0.1,FA_B
F12,Plate 3_F10,200 bp to 1000 bp,2.9859,97.6,12.0559,407,35.26,300,7.5,3,Positive,0.1,FA_B
G12,Plate 3_H10,35 bp to 100 bp,0.0104,0.5,0.2798,61,29.79,300,7.3,3,Positive,0.1,FA_B
G12,Plate 3_H10,100 bp to 200 bp,0.0182,0.8,0.176,170,17.53,300,7.3,3,Positive,0.1,FA_B
G12,Plate 3_H10,200 bp to 1000 bp,2.1416,97.5,8.921,395,34.64,300,7.3,3,Positive,0.1,FA_B
